==============================
iter time: 5
==========
+----+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| #  |  atom1   |  atom2   |  atom3   |  atom4   |  atom5   |  atom6   |  atom7   |  atom8   |  atom9   |  atom10  |  atom11  |  atom12  |  atom13  |  atom14  |  atom15  |  atom16  |  atom17  |  atom18  |  atom19  |  atom20  |  atom21  |  atom22  |  atom23  |  atom24  |  atom25  |
| 6  | -0.12458 | -0.12369 | -0.12362 | -0.12397 | -0.12403 | -0.12277 | -0.12274 | -0.12275 | -0.12274 | -0.12274 | -0.12274 | -0.12274 | -0.12275 | -0.12275 | -0.12275 | -0.12274 | -0.12279 | -0.12309 | -0.12304 | -0.12321 | -0.1232  | -0.12315 | -0.12316 | -0.12318 | -0.12318 |
| 7  | -0.12756 | -0.12575 | -0.12569 | -0.12615 | -0.12625 | -0.12431 | -0.12423 | -0.12423 | -0.12422 | -0.1242  | -0.12421 | -0.12421 | -0.12421 | -0.12421 | -0.12421 | -0.1242  | -0.12397 | -0.12398 | -0.12416 | -0.1236  | -0.12376 | -0.12388 | -0.12375 | -0.12374 | -0.12375 |
| 8  | -0.12752 | -0.1267  | -0.12673 | -0.12694 | -0.12684 | -0.12633 | -0.12627 | -0.12627 | -0.12627 | -0.12626 | -0.12625 | -0.12625 | -0.12625 | -0.12625 | -0.12625 | -0.12625 | -0.12638 | -0.12592 | -0.12594 | -0.12573 | -0.12564 | -0.12576 | -0.12565 | -0.12565 | -0.12565 |
| 9  | -0.10203 | -0.10273 | -0.10285 | -0.10301 | -0.10292 | -0.10428 | -0.10457 | -0.10457 | -0.10455 | -0.10455 | -0.10454 | -0.10454 | -0.10454 | -0.10454 | -0.10453 | -0.10451 | -0.1044  | -0.10452 | -0.10457 | -0.1049  | -0.10483 | -0.10479 | -0.10481 | -0.10482 | -0.10483 |
| 10 | -0.11007 | -0.10899 | -0.10899 | -0.1089  | -0.10872 | -0.10914 | -0.1096  | -0.1096  | -0.1096  | -0.10959 | -0.10958 | -0.10958 | -0.10958 | -0.10958 | -0.10958 | -0.10959 | -0.10975 | -0.10931 | -0.10955 | -0.10998 | -0.10989 | -0.10991 | -0.10993 | -0.10992 | -0.10992 |
| 11 | -0.11438 | -0.11369 | -0.11349 | -0.1131  | -0.11324 | -0.1126  | -0.11252 | -0.11252 | -0.11252 | -0.11253 | -0.11252 | -0.11252 | -0.11253 | -0.11253 | -0.11253 | -0.11254 | -0.11253 | -0.11227 | -0.11242 | -0.11243 | -0.11242 | -0.11246 | -0.11243 | -0.11241 | -0.11241 |
| 12 | -0.12147 | -0.12024 | -0.12004 | -0.11923 | -0.11933 | -0.11813 | -0.11801 | -0.11801 | -0.11802 | -0.11802 | -0.11802 | -0.11802 | -0.11802 | -0.11802 | -0.11803 | -0.11804 | -0.11794 | -0.11797 | -0.1181  | -0.11818 | -0.11831 | -0.11823 | -0.11822 | -0.11822 | -0.11821 |
| 13 | -0.12785 | -0.12645 | -0.1264  | -0.12589 | -0.12595 | -0.12436 | -0.1241  | -0.1241  | -0.12409 | -0.12407 | -0.12407 | -0.12407 | -0.12406 | -0.12406 | -0.12406 | -0.12407 | -0.1239  | -0.12387 | -0.12412 | -0.12372 | -0.12384 | -0.12392 | -0.12383 | -0.12383 | -0.12383 |
| 14 | -0.12944 | -0.13022 | -0.13021 | -0.1307  | -0.13061 | -0.12989 | -0.12957 | -0.12958 | -0.12958 | -0.12957 | -0.12957 | -0.12957 | -0.12957 | -0.12957 | -0.12957 | -0.12957 | -0.12953 | -0.12971 | -0.12972 | -0.12923 | -0.12934 | -0.12939 | -0.12937 | -0.12937 | -0.12937 |
| 15 | -0.12937 | -0.13044 | -0.13045 | -0.1314  | -0.13131 | -0.13069 | -0.13035 | -0.13035 | -0.13034 | -0.13032 | -0.13033 | -0.13033 | -0.13032 | -0.13032 | -0.13032 | -0.13032 | -0.13019 | -0.13025 | -0.13023 | -0.12941 | -0.12966 | -0.12966 | -0.12964 | -0.12963 | -0.12964 |
| 16 | -0.13279 | -0.13234 | -0.13232 | -0.13295 | -0.13295 | -0.13264 | -0.13255 | -0.13255 | -0.13254 | -0.13252 | -0.13252 | -0.13252 | -0.13252 | -0.13252 | -0.13252 | -0.1325  | -0.13232 | -0.13148 | -0.13164 | -0.13099 | -0.13089 | -0.13121 | -0.13102 | -0.13101 |  -0.131  |
| 17 | -0.11424 | -0.11315 | -0.11323 | -0.11377 | -0.11363 | -0.11267 | -0.11246 | -0.11246 | -0.11243 | -0.1124  | -0.1124  | -0.1124  | -0.1124  | -0.1124  | -0.1124  | -0.11238 | -0.11232 | -0.11137 | -0.11159 | -0.11089 | -0.11108 | -0.11122 | -0.11103 | -0.11102 | -0.11103 |
| 18 | -0.11713 | -0.11707 | -0.11683 | -0.1164  | -0.11625 | -0.1151  | -0.11505 | -0.11505 | -0.11506 | -0.11506 | -0.11506 | -0.11506 | -0.11505 | -0.11505 | -0.11506 | -0.11505 | -0.1151  | -0.11431 | -0.11442 | -0.11413 | -0.11407 | -0.11425 | -0.11409 | -0.11408 | -0.11409 |
| 19 | -0.12047 | -0.12144 | -0.12144 | -0.12103 | -0.12096 | -0.11977 | -0.11944 | -0.11944 | -0.11944 | -0.11945 | -0.11946 | -0.11946 | -0.11946 | -0.11946 | -0.11946 | -0.11947 | -0.11954 | -0.11928 | -0.11936 | -0.11882 | -0.11899 | -0.11901 | -0.1189  | -0.11889 | -0.1189  |
| 20 | -0.12604 | -0.12715 | -0.12706 | -0.12671 | -0.12672 | -0.12551 | -0.12477 | -0.12477 | -0.12476 | -0.12473 | -0.12473 | -0.12473 | -0.12473 | -0.12473 | -0.12473 | -0.12474 | -0.1249  | -0.12491 | -0.12479 | -0.12382 | -0.12413 | -0.12417 | -0.12419 | -0.12419 | -0.12418 |
| 21 | -0.12604 | -0.12819 | -0.1282  | -0.12886 | -0.12895 | -0.1288  | -0.12827 | -0.12827 | -0.12828 | -0.12827 | -0.12827 | -0.12827 | -0.12827 | -0.12827 | -0.12827 | -0.12826 | -0.12808 | -0.12902 | -0.12882 | -0.12789 | -0.12827 | -0.12821 | -0.12827 | -0.12827 | -0.12828 |
| 22 | -0.12902 | -0.13179 | -0.13171 | -0.13225 | -0.13246 | -0.13245 | -0.1321  | -0.1321  | -0.13209 | -0.13209 | -0.13208 | -0.13208 | -0.13208 | -0.13208 | -0.13208 | -0.13207 | -0.13219 | -0.13223 | -0.13207 | -0.13124 | -0.13152 | -0.13156 | -0.13156 | -0.13157 | -0.13156 |
| 23 | -0.13015 | -0.13081 |  -0.131  | -0.13213 | -0.13235 | -0.1323  | -0.13186 | -0.13186 | -0.13186 | -0.13181 | -0.13181 | -0.13181 | -0.13181 | -0.13181 | -0.13182 | -0.13179 | -0.13154 | -0.1317  | -0.13158 | -0.1304  | -0.13081 | -0.13089 | -0.13084 | -0.13083 | -0.13083 |
| 24 | -0.1297  | -0.12986 | -0.1301  | -0.13099 | -0.13103 | -0.13121 | -0.13078 | -0.13077 | -0.13077 | -0.13077 | -0.13077 | -0.13077 | -0.13078 | -0.13078 | -0.13079 | -0.13077 | -0.13077 | -0.13058 | -0.13054 | -0.12972 | -0.12989 | -0.12996 | -0.12993 | -0.12992 | -0.12992 |
| 25 | -0.11901 | -0.12006 | -0.12014 | -0.12074 | -0.12057 | -0.11915 | -0.11858 | -0.11857 | -0.11856 | -0.11854 | -0.11854 | -0.11854 | -0.11854 | -0.11854 | -0.11854 | -0.11852 | -0.11867 | -0.11809 | -0.11784 | -0.11731 | -0.11745 | -0.1174  | -0.11738 | -0.11736 | -0.11737 |
| 26 | -0.12376 | -0.12489 | -0.12494 | -0.12473 | -0.12455 | -0.12421 | -0.12379 | -0.12379 | -0.1238  | -0.12378 | -0.12378 | -0.12378 | -0.12378 | -0.12378 | -0.12377 | -0.12376 | -0.12409 | -0.1238  | -0.12357 | -0.12315 | -0.12324 | -0.12321 | -0.1232  | -0.12319 | -0.1232  |
| 27 | -0.12406 | -0.12653 | -0.12675 | -0.12658 | -0.12643 | -0.12631 | -0.12582 | -0.12582 | -0.12582 | -0.12579 | -0.12579 | -0.12579 | -0.12579 | -0.12579 | -0.1258  | -0.12581 | -0.12601 | -0.12671 | -0.1265  | -0.12639 | -0.12616 | -0.12616 | -0.12627 | -0.12627 | -0.12627 |
| 28 | -0.12881 | -0.13044 | -0.13053 | -0.1302  | -0.12993 | -0.13002 | -0.12944 | -0.12944 | -0.12943 | -0.12939 | -0.12939 | -0.12939 | -0.12939 | -0.12939 | -0.12939 | -0.1294  | -0.12952 | -0.13021 | -0.12985 | -0.12983 | -0.12967 | -0.12966 | -0.1298  | -0.12981 | -0.12981 |
| 29 | -0.12943 | -0.13117 | -0.13109 | -0.13119 | -0.1313  | -0.13166 | -0.13151 | -0.13151 | -0.13151 | -0.13151 | -0.13151 | -0.13151 | -0.13151 | -0.13151 | -0.13151 | -0.1315  | -0.13162 | -0.13199 | -0.13191 | -0.13177 | -0.13165 | -0.13163 | -0.13178 | -0.13177 | -0.13177 |
| 30 | -0.1265  | -0.1289  | -0.12885 | -0.12945 | -0.1295  | -0.1308  | -0.13049 | -0.13049 | -0.13048 | -0.13051 | -0.13051 | -0.13051 | -0.1305  | -0.1305  | -0.1305  | -0.13049 | -0.13052 | -0.1312  | -0.13097 | -0.13099 | -0.13093 | -0.13087 |  -0.131  | -0.13101 |  -0.131  |
| 31 |  -0.13   | -0.13071 | -0.13069 | -0.13123 | -0.13125 | -0.13178 | -0.13165 | -0.13165 | -0.13165 | -0.13167 | -0.13167 | -0.13167 | -0.13167 | -0.13167 | -0.13167 | -0.13169 | -0.13189 | -0.13208 | -0.13193 | -0.13197 | -0.13195 | -0.13189 | -0.13195 | -0.13194 | -0.13194 |
| 32 | -0.13029 | -0.12884 | -0.12891 | -0.12917 | -0.12915 | -0.12934 | -0.12919 | -0.12919 | -0.1292  | -0.12921 | -0.1292  | -0.1292  | -0.1292  | -0.1292  | -0.1292  | -0.1292  | -0.12923 | -0.12916 | -0.12922 | -0.12901 | -0.12907 | -0.12911 | -0.1291  | -0.1291  | -0.12909 |
| 33 | -0.12423 | -0.12475 | -0.1249  | -0.12443 | -0.12434 | -0.12482 | -0.12496 | -0.12496 | -0.12496 | -0.12495 | -0.12496 | -0.12496 | -0.12496 | -0.12496 | -0.12496 | -0.12495 | -0.12475 | -0.12471 | -0.12443 | -0.12483 | -0.12457 | -0.12465 | -0.12456 | -0.12454 | -0.12454 |
| 34 | -0.12921 | -0.12941 | -0.12956 | -0.12937 | -0.12948 | -0.1293  | -0.1292  | -0.1292  | -0.12921 | -0.12919 | -0.12919 | -0.12919 | -0.12919 | -0.12919 | -0.12919 | -0.1292  | -0.12911 | -0.12917 | -0.12899 | -0.12918 | -0.12897 | -0.12907 | -0.12904 | -0.12904 | -0.12904 |
| 35 | -0.12778 | -0.12984 | -0.13011 | -0.1297  | -0.12967 | -0.13021 | -0.13018 | -0.13018 | -0.13018 | -0.13016 | -0.13015 | -0.13015 | -0.13016 | -0.13016 | -0.13016 | -0.13017 | -0.1301  | -0.1307  | -0.13065 | -0.13117 | -0.13102 | -0.1309  | -0.13101 | -0.13101 |  -0.131  |
| 36 | -0.12652 |  -0.129  | -0.12926 | -0.12931 | -0.12934 | -0.13048 | -0.13053 | -0.13054 | -0.13054 | -0.1306  | -0.13061 | -0.13061 | -0.13061 | -0.13061 | -0.13062 | -0.13063 | -0.13073 | -0.13174 | -0.13169 | -0.13233 | -0.13225 | -0.13193 | -0.13214 | -0.13216 | -0.13217 |
| 37 | -0.12712 | -0.12755 | -0.1274  | -0.12735 | -0.12749 | -0.12912 | -0.12955 | -0.12955 | -0.12956 | -0.12959 | -0.12959 | -0.12959 | -0.12959 | -0.12959 | -0.12959 | -0.12961 | -0.12977 | -0.13043 | -0.13031 | -0.13107 |  -0.131  | -0.13081 | -0.13096 | -0.13096 | -0.13095 |
| 38 | -0.12639 | -0.12807 | -0.12804 | -0.1276  | -0.12759 | -0.12892 | -0.12933 | -0.12933 | -0.12934 | -0.12935 | -0.12935 | -0.12935 | -0.12935 | -0.12935 | -0.12935 | -0.12937 | -0.12934 | -0.13021 | -0.12986 | -0.13068 | -0.13059 | -0.13048 | -0.13054 | -0.13055 | -0.13055 |
| 39 | -0.12917 | -0.12968 | -0.12977 | -0.12948 | -0.12955 | -0.13075 | -0.1313  | -0.1313  | -0.13132 | -0.13136 | -0.13136 | -0.13136 | -0.13136 | -0.13136 | -0.13136 | -0.13136 | -0.13148 | -0.1318  | -0.13165 | -0.13284 | -0.13249 | -0.13231 | -0.13246 | -0.13245 | -0.13245 |
| 40 | -0.12855 | -0.12808 | -0.12809 | -0.12852 | -0.12857 | -0.12929 | -0.12944 | -0.12944 | -0.12945 | -0.12945 | -0.12946 | -0.12946 | -0.12945 | -0.12945 | -0.12944 | -0.12943 | -0.12949 | -0.12962 | -0.12939 | -0.12995 | -0.12993 | -0.12981 | -0.12982 | -0.12983 | -0.12984 |
| 41 | -0.12863 | -0.12768 | -0.12782 | -0.1273  | -0.12743 | -0.12732 | -0.12759 | -0.12759 | -0.1276  | -0.12762 | -0.12761 | -0.12761 | -0.12761 | -0.12761 | -0.12761 | -0.12762 | -0.12721 | -0.12738 | -0.1276  | -0.12758 | -0.12731 | -0.12745 | -0.12739 | -0.12741 | -0.1274  |
| 42 | -0.12953 | -0.13058 | -0.1308  | -0.1307  | -0.13077 | -0.13092 | -0.13102 | -0.13102 | -0.13103 | -0.13103 | -0.13103 | -0.13103 | -0.13104 | -0.13104 | -0.13104 | -0.13105 | -0.13095 | -0.13126 | -0.13137 | -0.13137 | -0.13148 | -0.13137 | -0.13138 | -0.13138 | -0.13138 |
| 43 | -0.12899 | -0.13004 | -0.12999 | -0.13013 | -0.12997 | -0.13031 | -0.13056 | -0.13056 | -0.13056 | -0.13057 | -0.13056 | -0.13056 | -0.13057 | -0.13057 | -0.13058 | -0.13059 | -0.13068 | -0.13101 | -0.13095 | -0.13113 | -0.13116 | -0.13107 | -0.13112 | -0.13112 | -0.13112 |
| 44 | -0.13049 | -0.13038 | -0.13033 | -0.13056 | -0.13067 | -0.13094 | -0.13113 | -0.13113 | -0.13114 | -0.13114 | -0.13115 | -0.13115 | -0.13115 | -0.13115 | -0.13115 | -0.13116 | -0.13115 | -0.13123 | -0.13149 | -0.13141 | -0.13158 | -0.13149 | -0.13156 | -0.13158 | -0.13159 |
| 45 | -0.12866 | -0.12856 | -0.12857 | -0.12829 | -0.12837 | -0.12921 | -0.12979 | -0.12979 | -0.1298  | -0.12981 | -0.12981 | -0.12981 | -0.12982 | -0.12982 | -0.12982 | -0.12981 | -0.12989 | -0.13014 | -0.13021 | -0.13071 | -0.13085 | -0.13065 | -0.13067 | -0.13068 | -0.1307  |
| 46 | -0.12938 | -0.1295  | -0.12953 | -0.12912 | -0.1291  | -0.13021 | -0.13072 | -0.13072 | -0.13073 | -0.13075 | -0.13075 | -0.13075 | -0.13074 | -0.13074 | -0.13073 | -0.1307  | -0.13056 | -0.13108 | -0.13102 | -0.1318  | -0.1317  | -0.13158 | -0.13165 | -0.13166 | -0.13166 |
| 47 | -0.12721 | -0.12564 | -0.12567 | -0.12528 | -0.12527 | -0.12612 | -0.12678 | -0.12677 | -0.12678 | -0.12682 | -0.12682 | -0.12682 | -0.12682 | -0.12682 | -0.12682 | -0.12678 | -0.12679 | -0.12669 | -0.12686 | -0.12752 | -0.12757 | -0.12741 | -0.12747 | -0.12748 | -0.12748 |
| 48 | -0.13214 | -0.13033 | -0.13041 | -0.13054 | -0.13045 | -0.13096 | -0.13104 | -0.13104 | -0.13104 | -0.13108 | -0.13108 | -0.13108 | -0.13108 | -0.13108 | -0.13107 | -0.13105 | -0.13095 | -0.13089 | -0.13106 | -0.13186 | -0.13183 | -0.13157 | -0.13162 | -0.13161 | -0.13162 |
| 49 | -0.12874 | -0.12776 | -0.12775 | -0.12756 | -0.1277  | -0.12719 | -0.12735 | -0.12735 | -0.12737 | -0.12742 | -0.12742 | -0.12742 | -0.12742 | -0.12742 | -0.12742 | -0.12742 | -0.12737 | -0.12701 | -0.12702 | -0.1268  | -0.12672 | -0.12684 | -0.12674 | -0.12674 | -0.12673 |
| 50 | -0.13076 | -0.1307  | -0.13069 | -0.13068 | -0.13076 | -0.1299  | -0.12992 | -0.12992 | -0.12993 | -0.12995 | -0.12995 | -0.12995 | -0.12995 | -0.12995 | -0.12996 | -0.12998 | -0.13004 | -0.1299  | -0.12987 | -0.12943 | -0.12958 | -0.12967 | -0.12963 | -0.12963 | -0.12962 |
| 51 | -0.12985 | -0.12867 | -0.12846 | -0.12849 | -0.12842 | -0.12872 | -0.12887 | -0.12887 | -0.12887 | -0.12891 | -0.12891 | -0.12891 | -0.12891 | -0.12891 | -0.12892 | -0.12894 | -0.12902 | -0.12862 | -0.12867 | -0.1288  | -0.12882 | -0.12882 | -0.1288  | -0.1288  | -0.1288  |
| 52 | -0.13043 | -0.13036 | -0.13022 | -0.1306  | -0.1305  | -0.13022 | -0.13012 | -0.13012 | -0.13013 | -0.13014 | -0.13015 | -0.13015 | -0.13015 | -0.13015 | -0.13015 | -0.13015 | -0.13026 | -0.13019 | -0.13011 | -0.12969 | -0.13006 | -0.12993 | -0.12991 | -0.12992 | -0.12993 |
| 53 | -0.12698 | -0.12627 | -0.12618 | -0.12596 | -0.12579 | -0.12716 | -0.12751 | -0.12751 | -0.1275  | -0.12753 | -0.12753 | -0.12753 | -0.12753 | -0.12753 | -0.12753 | -0.12754 | -0.12743 | -0.12756 | -0.12736 | -0.1282  | -0.12784 | -0.12789 | -0.1279  | -0.12788 | -0.12788 |
| 54 | -0.12903 | -0.12774 | -0.12769 | -0.12751 | -0.12728 | -0.12702 | -0.12724 | -0.12724 | -0.12723 | -0.12722 | -0.12722 | -0.12722 | -0.12722 | -0.12722 | -0.12722 | -0.12723 | -0.12732 | -0.12708 | -0.12711 | -0.12715 |  -0.127  | -0.12713 | -0.12707 | -0.12705 | -0.12706 |
| 55 | -0.12765 | -0.12661 | -0.12667 | -0.12616 | -0.12637 | -0.12628 | -0.12661 | -0.12661 | -0.12662 | -0.12663 | -0.12663 | -0.12663 | -0.12663 | -0.12663 | -0.12663 | -0.12664 | -0.12654 | -0.12635 | -0.12658 | -0.12687 | -0.12694 | -0.1268  | -0.12682 | -0.12682 | -0.1268  |
| 56 | -0.12701 | -0.12541 | -0.12534 | -0.12507 | -0.1249  | -0.12496 | -0.12543 | -0.12543 | -0.12544 | -0.12544 | -0.12544 | -0.12544 | -0.12544 | -0.12544 | -0.12543 | -0.12544 | -0.12534 | -0.12514 | -0.12525 | -0.12552 | -0.1254  | -0.12548 | -0.12542 | -0.12543 | -0.12542 |
| 57 | -0.12759 | -0.1259  | -0.1256  | -0.12569 | -0.1259  | -0.12523 | -0.12503 | -0.12503 | -0.12503 | -0.12504 | -0.12504 | -0.12504 | -0.12504 | -0.12504 | -0.12505 | -0.12503 | -0.12504 | -0.12454 | -0.12464 | -0.12367 | -0.12386 | -0.12414 | -0.12398 |  -0.124  |  -0.124  |
| 58 | -0.12878 | -0.12732 | -0.12708 | -0.12686 | -0.1269  | -0.12659 | -0.12649 | -0.12649 | -0.12648 | -0.12645 | -0.12645 | -0.12645 | -0.12645 | -0.12646 | -0.12646 | -0.12645 | -0.1264  | -0.12575 | -0.12594 | -0.12577 | -0.12579 | -0.12591 | -0.1258  | -0.1258  | -0.1258  |
| 59 | -0.12766 | -0.12587 | -0.12569 | -0.12565 | -0.12571 | -0.12532 | -0.12515 | -0.12515 | -0.12513 | -0.1251  | -0.1251  | -0.1251  | -0.12509 | -0.12509 | -0.1251  | -0.12511 | -0.12509 | -0.12413 | -0.12444 | -0.12387 | -0.12407 | -0.12426 | -0.12409 | -0.1241  | -0.12411 |
| 60 | -0.12583 | -0.12579 | -0.12577 | -0.12555 | -0.12553 | -0.12508 | -0.12508 | -0.12508 | -0.12506 | -0.12503 | -0.12503 | -0.12503 | -0.12503 | -0.12503 | -0.12503 | -0.12504 | -0.12516 | -0.12459 | -0.12472 | -0.12495 | -0.12489 | -0.12492 | -0.1249  | -0.1249  | -0.12492 |
| 61 | -0.1256  | -0.12572 | -0.12564 | -0.12488 | -0.12461 | -0.12492 | -0.12486 | -0.12486 | -0.12485 | -0.12481 | -0.12482 | -0.12482 | -0.12481 | -0.12481 | -0.12481 | -0.12481 | -0.12503 | -0.12449 | -0.12442 | -0.12464 | -0.12443 | -0.12452 | -0.12451 | -0.1245  | -0.1245  |
| 62 | -0.12727 | -0.12681 | -0.12681 | -0.12684 | -0.12694 | -0.12638 | -0.12625 | -0.12625 | -0.12625 | -0.12621 | -0.1262  | -0.1262  | -0.12619 | -0.12619 | -0.12619 | -0.12618 | -0.1261  | -0.12561 | -0.12571 | -0.12547 | -0.12542 | -0.12558 | -0.12556 | -0.12555 | -0.12555 |
| 63 | -0.12424 | -0.12433 | -0.12436 | -0.12398 | -0.12386 | -0.12366 | -0.12374 | -0.12374 | -0.12373 | -0.12369 | -0.12369 | -0.12369 | -0.12369 | -0.12369 | -0.12368 | -0.12366 | -0.12366 | -0.12302 | -0.12302 | -0.12355 | -0.12322 | -0.12341 | -0.12331 | -0.12329 | -0.12328 |
| 64 | -0.12249 | -0.12204 | -0.12204 | -0.12148 | -0.12142 | -0.12175 | -0.12209 | -0.12209 | -0.12209 | -0.12206 | -0.12206 | -0.12206 | -0.12206 | -0.12206 | -0.12205 | -0.12204 | -0.12192 | -0.12162 | -0.12183 | -0.12233 | -0.12213 | -0.12215 | -0.12214 | -0.12214 | -0.12212 |
+----+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
PSNR: 26.098180708479475
==============================
